"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_MPH","SPS","Oil Pressure_Cal","WSRPM","Speed_WS","AIM_Slip_Factor","Average_Driven","Slip Ratio","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"Time","Distance","BPS_Rear","BPS_Front","Longitudinal_a","Lateral_acc","Vertical_acc","Calculated_Gea","Datalogger_Tem","Battery","PE3_RPM","PE3_TPS","PE3_FUEL_TIME","PE3_IGN_ANG","PE3_BARO","PE3_MAP","PE3_LAMBDA","PE3_ANA_IN1","PE3_ANA_IN2","PE3_ANA_IN3","PE3_ANA_IN4","PE3_ANA_IN5","PE3_ANA_IN6","PE3_ANA_IN7","PE3_ANA_IN8","PE3_FREQ1","PE3_FREQ2","PE3_FREQ3","PE3_FREQ4","PE3_BATTVOLT","PE3_IAT","PE3_ECT","PE3_THERMIST1","PE3_THERMIST2","GPS_Speed","GPS_Nsat","GPS_LatAcc","GPS_LonAcc","GPS_Slope","GPS_Heading","GPS_Gyro","GPS_Altitude","GPS_PosAccuracy","GPS_MPH","SPS","Oil Pressure_Cal","WSRPM","Speed_WS","AIM_Slip_Factor","Average_Driven","Slip Ratio","GPS_Latitude","GPS_Longitude","GPS_Elevation",
"sec","km","psi","psi","g","g","g","#","°F","V","rpm","%","ms","deg","mbar","mbar","lambda","V","V","V","V","V","V","V","V","Hz","Hz","Hz","Hz","V","°F","°F","°F","°F","mph","#","g","g","deg","deg","deg/s","m","m","Unit","Unit","psi","Unit","","","Unit","%","°","°","cm",
"","","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52",

0.200,0.007,-8.912546,-54.383469,2.075620,1.888344,-2.556589,2.900000,124.582939,13.248523,6665.799805,5.490000,3.124000,44.650002,969.000000,825.900024,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,2.004350,0.042000,128.050003,126.550003,129.149994,119.400002,13.129499,91.580002,188.779999,68.000000,68.000000,24.230370,11.000000,-0.155889,0.014244,-1.697468,-95.500763,-6.835710,292.000000,1.070000,15.047059,1.393198,56.663128,0.019138,24.581383,0.000000,127.300003,8.282543,42.068626135941,-84.237071689990,292.87
0.210,0.007,-2.503892,-49.805862,2.169716,1.880691,-2.139897,2.700000,124.582939,13.248743,6629.399902,4.270000,3.072000,40.150002,969.000000,821.700012,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.999050,0.042000,130.149994,127.650002,137.449997,120.199997,13.128500,91.580002,188.779999,68.000000,68.000000,24.224155,11.000000,-0.165576,0.001944,-1.689447,-95.593582,-7.261991,292.000000,1.070000,15.043200,1.393198,56.464378,0.019561,25.481365,0.000000,128.899994,7.868385,42.068626250410,-84.237072995007,292.86
0.220,0.008,-0.367674,-45.533424,2.502351,1.822837,-1.758195,2.500000,124.582939,13.248962,6593.000000,3.050000,3.020000,35.650002,969.000000,817.500000,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.993750,0.042000,132.250000,128.750000,145.750000,121.000000,13.127500,91.580002,188.779999,68.000000,68.000000,24.217943,11.000000,-0.175264,-0.010356,-1.681425,-95.686401,-7.688271,292.000000,1.070000,15.039342,1.393198,56.265629,0.019985,26.381348,0.000000,130.500000,7.454227,42.068626364879,-84.237074300025,292.86
0.230,0.008,-0.062500,-44.312729,2.841636,1.754261,-1.497368,2.300000,124.582939,13.249182,6556.600098,1.830000,2.968000,31.150000,969.000000,813.299988,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.988450,0.042000,134.350006,129.850006,154.050003,121.800003,13.126499,91.580002,188.779999,68.000000,68.000000,24.211729,11.000000,-0.184951,-0.022657,-1.673404,-95.779221,-8.114552,292.000000,1.070000,15.035483,1.393198,56.066879,0.020409,27.281330,0.000000,132.100006,7.040069,42.068626479348,-84.237075605043,292.85
0.240,0.009,2.989240,-45.228249,2.948645,1.700231,-1.493268,2.100000,124.582939,13.249402,6520.200195,0.610000,2.916000,26.650000,969.000000,809.099976,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.983150,0.042000,136.449997,130.949997,162.350006,122.599998,13.125500,91.580002,188.779999,68.000000,68.000000,24.205515,11.000000,-0.194638,-0.034957,-1.665383,-95.872040,-8.540832,292.000000,1.070000,15.031625,1.393198,55.868130,0.020833,28.181313,0.000000,133.699997,6.625911,42.068626593818,-84.237076910061,292.85
0.250,0.009,5.125458,-43.702381,2.855572,1.651301,-1.740742,1.900000,124.582939,13.249621,6467.000000,0.000000,2.886000,23.709999,969.000000,805.700012,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.977850,0.042000,138.550003,132.050003,170.649994,123.400002,13.124499,91.580002,188.779999,68.000000,68.000000,24.199303,11.000000,-0.204325,-0.047257,-1.657361,-95.964859,-8.967113,292.000000,1.070000,15.027766,1.393198,55.669376,0.021256,29.081293,0.000000,135.300003,6.211753,42.068626708287,-84.237078215079,292.84
0.260,0.009,5.735806,-42.176514,2.792754,1.608009,-1.991551,1.700000,124.582939,13.249842,6397.000000,0.000000,2.878000,22.330000,969.000000,803.099976,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.972550,0.042000,140.649994,133.149994,178.949997,124.199997,13.123500,91.580002,188.779999,68.000000,68.000000,24.193089,11.000000,-0.214013,-0.059558,-1.649340,-96.057678,-9.393394,292.000000,1.070000,15.023908,1.393198,55.470627,0.021680,29.981276,0.000000,136.899994,5.797595,42.068626822756,-84.237079520097,292.84
0.270,0.010,9.703068,-40.650642,2.886462,1.592963,-2.092766,1.500000,124.582939,13.250061,6327.000000,0.000000,2.870000,20.950001,969.000000,800.500000,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.967250,0.042000,142.750000,134.250000,187.250000,125.000000,13.122499,91.580002,188.779999,68.000000,68.000000,24.186874,11.000000,-0.223700,-0.071858,-1.641318,-96.150497,-9.819674,292.000000,1.070000,15.020049,1.393198,55.271877,0.022104,30.881258,0.000000,138.500000,5.383437,42.068626937225,-84.237080825115,292.83
0.280,0.010,10.923764,-36.378204,3.066360,1.610383,-2.131683,1.300000,124.582939,13.250280,6257.000000,0.000000,2.862000,19.570000,969.000000,797.900024,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.961950,0.042000,144.850006,135.350006,195.550003,125.800003,13.121499,91.580002,188.779999,68.000000,68.000000,24.180662,11.000000,-0.233387,-0.084158,-1.633297,-96.243317,-10.245955,292.000000,1.070000,15.016191,1.393198,55.073128,0.022528,31.781240,0.000000,140.100006,4.969279,42.068627051694,-84.237082130133,292.82
0.290,0.010,6.346154,-37.598900,3.211370,1.628803,-2.154302,1.100000,124.582939,13.250501,6187.000000,0.000000,2.854000,18.190001,969.000000,795.299988,0.507000,0.014000,0.009000,0.009000,0.009000,0.009000,0.039000,1.956650,0.042000,146.949997,136.449997,203.850006,126.599998,13.120500,91.580002,188.779999,68.000000,68.000000,24.174448,11.000000,-0.243075,-0.096459,-1.625275,-96.336136,-10.672235,292.000000,1.070000,15.012332,1.393198,54.874378,0.022951,32.681225,0.000000,141.699997,4.555121,42.068627166163,-84.237083435151,292.82
