0.100,0.004,2.684066,-36.134064,2.784986,1.286284,-1.905533,3.000000,131.174728,13.268869,6836.839844,2.824000,2.990000,40.052002,969.000000,802.479980,0.511000,0.010240,0.009000,0.009000,0.009000,0.009000,0.058000,2.015920,0.042000,134.000000,128.000000,124.379997,132.520004,13.099999,86.180000,183.379990,68.000000,68.000000,25.182932,11.000000,-0.794588,0.138082,-1.704229,-76.649651,-33.884361,293.000000,1.420000,15.638601,1.393198,57.097004,0.019222,25.407190,0.000000,131.000000,1.110055,42.068639006538,-84.237050316838,293.63
0.110,0.004,3.660623,-33.204395,2.797656,1.337267,-2.054910,3.000000,131.174728,13.268760,6843.640137,2.804000,2.990000,40.092003,969.000000,802.080017,0.511000,0.010040,0.009000,0.009000,0.009000,0.009000,0.058000,2.014320,0.042000,134.000000,128.000000,124.480003,132.919998,13.099999,86.180000,183.379990,68.000000,68.000000,25.220215,11.000000,-0.791529,0.138529,-1.701937,-76.960197,-33.664345,293.000000,1.420000,15.661754,1.393198,57.037003,0.019219,25.456640,0.000000,131.000000,1.199947,42.068639283686,-84.237051665943,293.62
0.120,0.004,0.975092,-36.622345,2.772974,1.316088,-2.214952,3.000000,131.174728,13.268650,6841.319824,2.800000,2.988400,40.084003,969.000000,801.039978,0.511000,0.009840,0.009000,0.009000,0.009000,0.009000,0.058000,2.012720,0.042000,134.000000,128.000000,124.580002,133.320007,13.099999,86.180000,183.379990,68.000000,68.000000,25.257498,11.000000,-0.788470,0.138975,-1.699646,-77.270737,-33.444328,293.000000,1.420000,15.684906,1.393198,56.977001,0.019216,25.506090,0.000000,131.000000,1.289839,42.068639560835,-84.237053015048,293.62
0.130,0.005,4.148901,-35.157509,2.749377,1.254138,-2.057560,3.000000,131.174728,13.268540,6836.720215,2.800000,2.986400,40.064003,969.000000,799.840027,0.511000,0.009640,0.009000,0.009000,0.009000,0.009000,0.058000,2.011120,0.042000,134.000000,128.000000,124.680000,133.720001,13.099999,86.180000,183.379990,68.000000,68.000000,25.294781,11.000000,-0.785411,0.139421,-1.697354,-77.581284,-33.224316,293.000000,1.420000,15.708058,1.393198,56.917000,0.019213,25.555538,0.000000,131.000000,1.379731,42.068639837984,-84.237054364153,293.62
0.140,0.005,7.078572,-35.035439,2.673703,1.153618,-1.814789,3.000000,131.174728,13.268430,6832.120117,2.800000,2.984400,40.044003,969.000000,798.640015,0.511000,0.009440,0.009000,0.009000,0.009000,0.009000,0.058000,2.009520,0.042000,134.000000,128.000000,124.779999,134.119995,13.099999,86.180000,183.379990,68.000000,68.000000,25.332062,11.000000,-0.782352,0.139867,-1.695062,-77.891823,-33.004299,293.000000,1.420000,15.731211,1.393198,56.856998,0.019209,25.604988,0.000000,131.000000,1.469623,42.068640115133,-84.237055713258,293.62
0.150,0.006,3.660623,-41.993408,2.557116,1.068569,-1.721226,3.000000,131.174728,13.268320,6827.520020,2.800000,2.982400,40.024002,969.000000,797.440002,0.511000,0.009240,0.009000,0.009000,0.009000,0.009000,0.058000,2.007920,0.042000,134.000000,128.000000,124.879997,134.520004,13.099999,86.180000,183.379990,68.000000,68.000000,25.369345,11.000000,-0.779293,0.140313,-1.692770,-78.202370,-32.784283,293.000000,1.420000,15.754363,1.393198,56.797001,0.019206,25.654438,0.000000,131.000000,1.559515,42.068640392281,-84.237057062363,293.62
0.160,0.006,3.172345,-46.632050,2.545811,1.108581,-1.649539,3.000000,131.174728,13.268210,6822.919922,2.800000,2.980400,40.004002,969.000000,796.239990,0.511000,0.009040,0.009000,0.009000,0.009000,0.009000,0.058000,2.006320,0.042000,134.000000,128.000000,124.980003,134.919998,13.099999,86.180000,183.379990,68.000000,68.000000,25.406628,11.000000,-0.776233,0.140759,-1.690478,-78.512909,-32.564266,293.000000,1.420000,15.777515,1.393198,56.737000,0.019203,25.703888,0.000000,131.000000,1.649407,42.068640669430,-84.237058411468,293.61
0.170,0.006,3.294414,-41.505127,2.676295,1.236867,-1.700345,3.000000,131.174728,13.268101,6835.759766,3.056000,2.988000,41.472000,969.000000,798.239990,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.009680,0.042000,134.080002,128.240005,125.080002,134.839996,13.099999,86.180000,183.379990,68.000000,68.000000,25.443909,11.000000,-0.773072,0.139829,-1.687728,-78.825287,-32.347919,293.000000,1.420800,15.800668,1.393198,56.862999,0.019193,25.705866,0.000000,131.160004,1.756187,42.068640946579,-84.237059760573,293.61
0.180,0.007,7.200642,-38.087177,2.784517,1.277142,-2.017616,3.000000,131.174728,13.267991,6852.959961,3.376000,2.998000,43.312000,969.000000,801.039978,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.014280,0.042000,134.179993,128.539993,125.180000,134.639999,13.099999,86.180000,183.379990,68.000000,68.000000,25.481192,11.000000,-0.769886,0.138554,-1.684863,-79.138123,-32.132484,293.000000,1.421800,15.823819,1.393198,57.035500,0.019182,25.695976,0.000000,131.360001,1.867190,42.068641175756,-84.237061139777,293.61
0.190,0.007,6.712363,-39.552013,2.756436,1.194536,-2.241884,3.000000,131.174728,13.267880,6870.160156,3.696000,3.008000,45.152000,969.000000,803.840027,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.018880,0.042000,134.279999,128.839996,125.279999,134.440002,13.099999,86.180000,183.379990,68.000000,68.000000,25.518473,11.000000,-0.766699,0.137279,-1.681998,-79.450958,-31.917053,293.000000,1.422800,15.846972,1.393198,57.208000,0.019170,25.686087,0.000000,131.559998,1.978192,42.068641384374,-84.237062531882,293.61
0.200,0.007,6.346154,-42.481686,2.604241,1.130579,-2.125483,3.000000,131.174728,13.267771,6887.359863,4.016000,3.018000,46.992001,969.000000,806.640015,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.023480,0.042000,134.380005,129.139999,125.379997,134.240005,13.099999,86.180000,183.379990,68.000000,68.000000,25.555756,11.000000,-0.763512,0.136005,-1.679134,-79.763794,-31.701620,293.000000,1.423800,15.870124,1.393198,57.380501,0.019159,25.676197,0.000000,131.759995,2.089194,42.068641592992,-84.237063923986,293.61
0.210,0.008,11.717216,-40.650639,2.383319,1.158120,-1.933801,3.000000,131.174728,13.267661,6904.560059,4.336000,3.028000,48.832001,969.000000,809.440002,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.028080,0.042000,134.479996,129.440002,125.480003,134.039993,13.099999,86.180000,183.379990,68.000000,68.000000,25.593039,11.000000,-0.760326,0.134730,-1.676269,-80.076630,-31.486187,293.000000,1.424800,15.893276,1.393198,57.553001,0.019147,25.666307,0.000000,131.960007,2.200196,42.068641801609,-84.237065316091,293.60
0.220,0.008,9.642034,-40.040291,2.276738,1.203588,-1.833963,3.000000,131.174728,13.267551,6917.600098,4.832000,3.054000,49.280003,969.000000,810.799988,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.032680,0.042000,134.580002,129.740005,125.580002,133.839996,13.099999,86.180000,183.379990,68.000000,68.000000,25.630320,11.000000,-0.757139,0.133456,-1.673404,-80.389465,-31.270756,293.000000,1.425800,15.916429,1.393198,57.725502,0.019136,25.656416,0.000000,132.160004,2.311198,42.068642010227,-84.237066708195,293.60
0.230,0.009,5.369597,-39.063736,2.450438,1.197138,-1.824068,3.000000,131.174728,13.267442,6929.600098,5.372000,3.084000,49.380001,969.000000,811.799988,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.037280,0.042000,134.679993,130.039993,125.680000,133.639999,13.099999,86.180000,183.379990,68.000000,68.000000,25.667603,11.000000,-0.753953,0.132181,-1.670539,-80.702301,-31.055323,293.000000,1.426800,15.939581,1.393198,57.898003,0.019124,25.646526,0.000000,132.360001,2.422201,42.068642218845,-84.237068100299,293.60
0.240,0.009,3.538553,-37.843040,2.723674,1.174823,-1.975064,3.000000,131.174728,13.267331,6941.600098,5.912000,3.114000,49.480000,969.000000,812.799988,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.041880,0.042000,134.779999,130.339996,125.779999,133.440002,13.099999,86.180000,183.379990,68.000000,68.000000,25.704884,11.000000,-0.750766,0.130906,-1.667674,-81.015129,-30.839890,293.000000,1.427800,15.962733,1.393198,58.070503,0.019113,25.636637,0.000000,132.559998,2.533203,42.068642427463,-84.237069492404,293.60
0.250,0.009,0.853022,-41.016850,2.794085,1.199861,-2.130805,3.000000,131.174728,13.267221,6953.600098,6.452000,3.144000,49.580002,969.000000,813.799988,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.046480,0.042000,134.880005,130.639999,125.879997,133.240005,13.099999,86.180000,183.379990,68.000000,68.000000,25.742167,11.000000,-0.747579,0.129632,-1.664810,-81.327965,-30.624456,293.000000,1.428800,15.985886,1.393198,58.243004,0.019101,25.626747,0.000000,132.759995,2.644205,42.068642636081,-84.237070884508,293.59
0.260,0.010,5.125458,-36.011997,2.668229,1.243635,-2.069665,3.000000,131.174728,13.267112,6965.600098,6.992000,3.174000,49.680000,969.000000,814.799988,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.051080,0.042000,134.979996,130.940002,125.980003,133.039993,13.099999,86.180000,183.379990,68.000000,68.000000,25.779449,11.000000,-0.744393,0.128357,-1.661945,-81.640800,-30.409025,293.000000,1.429800,16.009037,1.393198,58.415504,0.019090,25.616858,0.000000,132.960007,2.755208,42.068642844699,-84.237072276613,293.59
0.270,0.010,7.322711,-36.988552,2.541631,1.232720,-1.955063,3.000000,131.174728,13.267002,6979.520020,7.148000,3.181600,49.796001,969.000000,815.320007,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.058320,0.042000,135.320007,131.399994,126.400002,132.919998,13.099999,86.180000,183.379990,68.000000,68.000000,25.811760,11.000000,-0.741869,0.125604,-1.659080,-81.957306,-30.232096,293.000000,1.430000,16.029102,1.393198,58.687004,0.019087,25.646528,0.000000,133.360001,2.782575,42.068643053316,-84.237073668717,293.59
0.280,0.010,-0.245604,-43.458241,2.518407,1.179188,-1.991720,3.000000,131.174728,13.266892,6993.919922,7.208000,3.183600,49.916000,969.000000,815.719971,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.066220,0.042000,135.720001,131.899994,126.900002,132.820007,13.099999,86.180000,183.379990,68.000000,68.000000,25.842829,11.000000,-0.739511,0.122481,-1.656215,-82.274719,-30.064793,293.000000,1.430000,16.048397,1.393198,58.983253,0.019086,25.686087,0.000000,133.809998,2.789035,42.068643261934,-84.237075060822,293.59
0.290,0.011,-2.198718,-42.969963,2.589892,1.163875,-2.090336,3.000000,131.174728,13.266782,7008.319824,7.268000,3.185600,50.035999,969.000000,816.119995,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.074120,0.042000,136.119995,132.399994,127.400002,132.720001,13.099999,86.180000,183.379990,68.000000,68.000000,25.873898,11.000000,-0.737153,0.119358,-1.653350,-82.592140,-29.897488,293.000000,1.430000,16.067690,1.393198,59.279503,0.019086,25.725647,0.000000,134.259995,2.795494,42.068643470552,-84.237076452926,293.58
0.300,0.011,0.730953,-40.528568,2.662128,1.212649,-2.157327,3.000000,131.174728,13.266672,7022.720215,7.328000,3.187600,50.155998,969.000000,816.520020,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.082020,0.042000,136.520004,132.899994,127.900002,132.619995,13.099999,86.180000,183.379990,68.000000,68.000000,25.904966,11.000000,-0.734795,0.116235,-1.650486,-82.909561,-29.730185,293.000000,1.430000,16.086985,1.393198,59.575752,0.019085,25.765207,0.000000,134.710007,2.801954,42.068643666019,-84.237077850681,293.58
0.310,0.012,3.904762,-38.575455,2.634212,1.264311,-2.206136,3.000000,131.174728,13.266562,7037.120117,7.388000,3.189600,50.276001,969.000000,816.919983,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.089920,0.042000,136.919998,133.399994,128.399994,132.520004,13.099999,86.180000,183.379990,68.000000,68.000000,25.936035,11.000000,-0.732437,0.113112,-1.647621,-83.226982,-29.562881,293.000000,1.430000,16.106277,1.393198,59.872002,0.019084,25.804768,0.000000,135.160004,2.808413,42.068643808880,-84.237079271039,293.58
0.320,0.012,5.491667,-39.674084,2.541270,1.266795,-2.185309,3.000000,131.174728,13.266453,7066.560059,7.384000,3.190000,50.540001,969.000000,816.359985,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.097820,0.042000,137.320007,133.899994,128.899994,132.419998,13.099999,86.180000,183.379990,68.000000,68.000000,25.967104,11.000000,-0.730078,0.109989,-1.644756,-83.544395,-29.395578,293.000000,1.430000,16.125570,1.393198,60.168251,0.019084,25.844328,0.000000,135.610001,2.814872,42.068643951741,-84.237080691396,293.57
0.330,0.012,10.130312,-39.063736,2.504086,1.248716,-2.038672,3.000000,131.174728,13.266343,7099.759766,7.364000,3.190000,50.840000,969.000000,815.559998,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.105720,0.042000,137.720001,134.399994,129.399994,132.320007,13.099999,86.180000,183.379990,68.000000,68.000000,25.998173,11.000000,-0.727720,0.106866,-1.641891,-83.861816,-29.228275,293.000000,1.430000,16.144865,1.393198,60.464500,0.019083,25.883886,0.000000,136.059998,2.821332,42.068644094602,-84.237082111754,293.57
0.340,0.013,9.275825,-39.796150,2.542591,1.246447,-1.862588,3.000000,131.174728,13.266232,7132.959961,7.344000,3.190000,51.139999,969.000000,814.760010,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.113620,0.042000,138.119995,134.899994,129.899994,132.220001,13.099999,86.180000,183.379990,68.000000,68.000000,26.029240,11.000000,-0.725362,0.103744,-1.639027,-84.179237,-29.060970,293.000000,1.430000,16.164158,1.393198,60.760750,0.019083,25.923447,0.000000,136.509995,2.827791,42.068644237463,-84.237083532112,293.56
0.350,0.013,3.904762,-42.969963,2.573588,1.229361,-1.825588,3.000000,131.174728,13.266123,7166.160156,7.324000,3.190000,51.439999,969.000000,813.960022,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.121520,0.042000,138.520004,135.399994,130.399994,132.119995,13.099999,86.180000,183.379990,68.000000,68.000000,26.060308,11.000000,-0.723004,0.100621,-1.636162,-84.496651,-28.893667,293.000000,1.430000,16.183453,1.393198,61.056999,0.019082,25.963007,0.000000,136.960007,2.834250,42.068644380324,-84.237084952469,293.56
0.360,0.014,3.660623,-40.772709,2.566303,1.180907,-1.951781,3.000000,131.174728,13.266013,7199.359863,7.304000,3.190000,51.739998,969.000000,813.159973,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.129420,0.042000,138.919998,135.899994,130.899994,132.020004,13.099999,86.180000,183.379990,68.000000,68.000000,26.091377,11.000000,-0.720646,0.097498,-1.633297,-84.814072,-28.726364,293.000000,1.430000,16.202745,1.393198,61.353249,0.019081,26.002567,0.000000,137.410004,2.840710,42.068644523185,-84.237086372827,293.56
0.370,0.014,3.904762,-40.040291,2.570305,1.160145,-2.092787,3.000000,131.174728,13.265903,7218.000000,6.788000,3.166000,51.896000,969.000000,809.479980,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.132200,0.042000,139.160004,136.320007,131.399994,132.639999,13.099999,86.180000,183.379990,68.000000,68.000000,26.112505,11.000000,-0.719359,0.092947,-1.630432,-85.136078,-28.619564,293.000000,1.430800,16.215864,1.393198,61.457500,0.019097,26.113335,0.000000,137.740005,2.753889,42.068644666046,-84.237087793185,293.55
0.380,0.014,3.904762,-40.040291,2.606016,1.204100,-2.137836,3.000000,131.174728,13.265794,7233.000000,6.148000,3.136000,52.015999,969.000000,805.080017,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.133700,0.042000,139.360001,136.720001,131.899994,133.440002,13.099999,86.180000,183.379990,68.000000,68.000000,26.131145,11.000000,-0.718339,0.088040,-1.627567,-85.459221,-28.527891,293.000000,1.431800,16.227442,1.393198,61.513748,0.019117,26.241903,0.000000,138.039993,2.643749,42.068644808907,-84.237089213542,293.55
0.390,0.015,4.881319,-39.552013,2.623130,1.270003,-2.130166,3.000000,131.174728,13.265683,7248.000000,5.508000,3.106000,52.136002,969.000000,800.679993,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.135200,0.042000,139.559998,137.119995,132.399994,134.240005,13.099999,86.180000,183.379990,68.000000,68.000000,26.149786,11.000000,-0.717319,0.083133,-1.624703,-85.782372,-28.436218,293.000000,1.432800,16.239017,1.393198,61.570000,0.019136,26.370472,0.000000,138.339996,2.533608,42.068644951768,-84.237090633900,293.54
0.400,0.015,4.148901,-39.429943,2.559011,1.302711,-2.116929,3.000000,131.174728,13.265574,7263.000000,4.868000,3.076000,52.256001,969.000000,796.280029,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.136700,0.042000,139.759995,137.520004,132.899994,135.039993,13.099999,86.180000,183.379990,68.000000,68.000000,26.168428,11.000000,-0.716300,0.078225,-1.621838,-86.105522,-28.344545,293.000000,1.433800,16.250593,1.393198,61.626251,0.019156,26.499041,0.000000,138.639999,2.423467,42.068645094629,-84.237092054257,293.54
0.410,0.015,3.904762,-36.988552,2.432024,1.282182,-2.060853,3.000000,131.174728,13.265464,7278.000000,4.228000,3.046000,52.376003,969.000000,791.880005,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.138200,0.042000,139.960007,137.919998,133.399994,135.839996,13.099999,86.180000,183.379990,68.000000,68.000000,26.187069,11.000000,-0.715280,0.073318,-1.618973,-86.428665,-28.252872,293.000000,1.434800,16.262169,1.393198,61.682503,0.019176,26.627609,0.000000,138.940002,2.313327,42.068645237490,-84.237093474615,293.54
0.420,0.016,1.951649,-40.284431,2.367481,1.239913,-2.004874,3.000000,131.174728,13.265354,7282.120117,3.988000,3.036800,52.016003,969.000000,789.559998,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.139700,0.042000,140.160004,138.320007,133.899994,136.639999,13.099999,86.180000,183.379990,68.000000,68.000000,26.205709,11.000000,-0.714260,0.068410,-1.616108,-86.751816,-28.161198,293.000000,1.435800,16.273745,1.393198,61.738754,0.019196,26.756178,0.000000,139.240005,2.203186,42.068645380351,-84.237094894973,293.53
0.430,0.016,0.486814,-41.260990,2.452914,1.243409,-2.064070,3.000000,131.174728,13.265244,7283.520020,3.848000,3.032800,51.535999,969.000000,787.760010,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.141200,0.042000,140.360001,138.720001,134.399994,137.440002,13.099999,86.180000,183.379990,68.000000,68.000000,26.224350,11.000000,-0.713240,0.063503,-1.613243,-87.074966,-28.069525,293.000000,1.436800,16.285322,1.393198,61.795002,0.019215,26.884747,0.000000,139.539993,2.093046,42.068645477716,-84.237096326034,293.53
0.440,0.017,4.148901,-38.331318,2.608600,1.296361,-2.150654,3.000000,131.174728,13.265134,7284.919922,3.708000,3.028800,51.056000,969.000000,785.960022,0.511000,0.009000,0.009000,0.009000,0.009000,0.009000,0.058000,2.142700,0.042000,140.559998,139.119995,134.899994,138.240005,13.099999,86.180000,183.379990,68.000000,68.000000,26.242992,11.000000,-0.712221,0.058596,-1.610379,-87.398109,-27.977852,293.000000,1.437800,16.296898,1.393198,61.851254,0.019235,27.013315,0.000000,139.839996,1.982905,42.068645555583,-84.237097761684,293.52
